delivery_date,settlement_period,delivery_start,delivery_end,price_gbp_per_mwh,market,source,price_type,currency,unit,notes
2026-05-09,1,2026-05-09 00:00:00+01:00,2026-05-09 00:30:00+01:00,50.63,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,38,2026-05-09 18:30:00+01:00,2026-05-09 19:00:00+01:00,108.46,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,39,2026-05-09 19:00:00+01:00,2026-05-09 19:30:00+01:00,118.12,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,40,2026-05-09 19:30:00+01:00,2026-05-09 20:00:00+01:00,122.18,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,41,2026-05-09 20:00:00+01:00,2026-05-09 20:30:00+01:00,81.03,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,42,2026-05-09 20:30:00+01:00,2026-05-09 21:00:00+01:00,83.61,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,43,2026-05-09 21:00:00+01:00,2026-05-09 21:30:00+01:00,75.57,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,44,2026-05-09 21:30:00+01:00,2026-05-09 22:00:00+01:00,75.9,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,45,2026-05-09 22:00:00+01:00,2026-05-09 22:30:00+01:00,77.39,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,46,2026-05-09 22:30:00+01:00,2026-05-09 23:00:00+01:00,81.97,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,47,2026-05-09 23:00:00+01:00,2026-05-09 23:30:00+01:00,79.08,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,48,2026-05-09 23:30:00+01:00,2026-05-10 00:00:00+01:00,69.29,day_ahead,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
