delivery_date,settlement_period,delivery_start,delivery_end,price_gbp_per_mwh,market,source,price_type,currency,unit,notes
2026-05-09,1,2026-05-09 00:00:00+01:00,2026-05-09 00:30:00+01:00,47.76,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,12,2026-05-09 05:30:00+01:00,2026-05-09 06:00:00+01:00,72.86,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,13,2026-05-09 06:00:00+01:00,2026-05-09 06:30:00+01:00,73.11,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,14,2026-05-09 06:30:00+01:00,2026-05-09 07:00:00+01:00,85.24,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,15,2026-05-09 07:00:00+01:00,2026-05-09 07:30:00+01:00,93.63,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,16,2026-05-09 07:30:00+01:00,2026-05-09 08:00:00+01:00,103.4,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,17,2026-05-09 08:00:00+01:00,2026-05-09 08:30:00+01:00,89.72,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,18,2026-05-09 08:30:00+01:00,2026-05-09 09:00:00+01:00,105.8,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,19,2026-05-09 09:00:00+01:00,2026-05-09 09:30:00+01:00,77.49,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,20,2026-05-09 09:30:00+01:00,2026-05-09 10:00:00+01:00,73.46,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,21,2026-05-09 10:00:00+01:00,2026-05-09 10:30:00+01:00,69.37,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,22,2026-05-09 10:30:00+01:00,2026-05-09 11:00:00+01:00,83.13,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,23,2026-05-09 11:00:00+01:00,2026-05-09 11:30:00+01:00,67.96,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,24,2026-05-09 11:30:00+01:00,2026-05-09 12:00:00+01:00,90.52,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,25,2026-05-09 12:00:00+01:00,2026-05-09 12:30:00+01:00,72.56,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,26,2026-05-09 12:30:00+01:00,2026-05-09 13:00:00+01:00,90.15,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,27,2026-05-09 13:00:00+01:00,2026-05-09 13:30:00+01:00,81.12,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,28,2026-05-09 13:30:00+01:00,2026-05-09 14:00:00+01:00,90.84,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,29,2026-05-09 14:00:00+01:00,2026-05-09 14:30:00+01:00,91.77,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,30,2026-05-09 14:30:00+01:00,2026-05-09 15:00:00+01:00,76.18,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,31,2026-05-09 15:00:00+01:00,2026-05-09 15:30:00+01:00,82.78,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,32,2026-05-09 15:30:00+01:00,2026-05-09 16:00:00+01:00,88.24,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,33,2026-05-09 16:00:00+01:00,2026-05-09 16:30:00+01:00,82.96,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,34,2026-05-09 16:30:00+01:00,2026-05-09 17:00:00+01:00,129.84,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,35,2026-05-09 17:00:00+01:00,2026-05-09 17:30:00+01:00,129.94,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,36,2026-05-09 17:30:00+01:00,2026-05-09 18:00:00+01:00,115.66,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,37,2026-05-09 18:00:00+01:00,2026-05-09 18:30:00+01:00,101.84,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,38,2026-05-09 18:30:00+01:00,2026-05-09 19:00:00+01:00,117.86,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,39,2026-05-09 19:00:00+01:00,2026-05-09 19:30:00+01:00,130.48,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,40,2026-05-09 19:30:00+01:00,2026-05-09 20:00:00+01:00,115.41,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,41,2026-05-09 20:00:00+01:00,2026-05-09 20:30:00+01:00,77.53,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,42,2026-05-09 20:30:00+01:00,2026-05-09 21:00:00+01:00,78.2,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,43,2026-05-09 21:00:00+01:00,2026-05-09 21:30:00+01:00,86.71,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,44,2026-05-09 21:30:00+01:00,2026-05-09 22:00:00+01:00,94.13,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,45,2026-05-09 22:00:00+01:00,2026-05-09 22:30:00+01:00,64.35,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,46,2026-05-09 22:30:00+01:00,2026-05-09 23:00:00+01:00,88.08,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,47,2026-05-09 23:00:00+01:00,2026-05-09 23:30:00+01:00,76.54,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09,48,2026-05-09 23:30:00+01:00,2026-05-10 00:00:00+01:00,68.17,intraday,sample_epex_csv,auction_clearing,GBP,MWh,Synthetic EPEX-style sample file; not official EPEX data.
